"PHH_common_all","PHH_DEG_Steatosis","PHH_SVM_DEGs","PHH_SVM_Steatosis","PRH_common_all","PRH_DEG_Steatosis","PRH_SVM_DEGs","PRH_SVM_Steatosis","RLT_common_all","RLT_DEG_Steatosis","RLT_SVM_DEGs","RLT_SVM_Steatosis"
NA,NA,"LIMK2",NA,NA,NA,NA,NA,NA,NA,"GGT5",NA
NA,NA,"CYP3A5",NA,NA,NA,NA,NA,NA,NA,"CHM",NA
NA,NA,"COQ4",NA,NA,NA,NA,NA,NA,NA,"CTSF",NA
NA,NA,"BCL9",NA,NA,NA,NA,NA,NA,NA,"CCPG1",NA
NA,NA,"SUDS3",NA,NA,NA,NA,NA,NA,NA,"MTMR1",NA
NA,NA,"ZNF227",NA,NA,NA,NA,NA,NA,NA,"OSBPL11",NA
NA,NA,"BCL6",NA,NA,NA,NA,NA,NA,NA,"FLT1",NA
NA,NA,"BAHD1",NA,NA,NA,NA,NA,NA,NA,"LRPAP1",NA
NA,NA,"PNMA6A",NA,NA,NA,NA,NA,NA,NA,"LRP4",NA
NA,NA,"FBH1",NA,NA,NA,NA,NA,NA,NA,"NDST1",NA
NA,NA,"CD276",NA,NA,NA,NA,NA,NA,NA,"NOA1",NA
NA,NA,"RIT1",NA,NA,NA,NA,NA,NA,NA,"SESN1",NA
NA,NA,"ARID4B",NA,NA,NA,NA,NA,NA,NA,"ZNF76",NA
NA,NA,"FBXW7",NA,NA,NA,NA,NA,NA,NA,"STK38L",NA
NA,NA,"AP4E1",NA,NA,NA,NA,NA,NA,NA,"ADAR",NA
NA,NA,"RAB40B",NA,NA,NA,NA,NA,NA,NA,"EVL",NA
NA,NA,"ZNF232-AS1",NA,NA,NA,NA,NA,NA,NA,"DHRS3",NA
NA,NA,"MGAT1",NA,NA,NA,NA,NA,NA,NA,"DYM",NA
NA,NA,"TRMT2A",NA,NA,NA,NA,NA,NA,NA,"AP1B1",NA
NA,NA,"TMEM38A",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CCDC126",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"EBAG9",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GIHCG",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GPAT4",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MANBA",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"STARD8",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"USP5",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"PTPN1",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CCNH",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MAGEF1",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SP140L",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SH3YL1",NA,NA,NA,NA,NA,NA,NA,NA,NA
